,id,timestamp,timestamp_local,sn,raw_table_id,wd,ws,temp,rh,pm1,pm25,pm10,co2,co,no,no2,o3,so2,h2s,lat,lon,device_state,pm1_model_id,pm25_model_id,pm10_model_id,co2_model_id,co_model_id,no_model_id,no2_model_id,o3_model_id,so2_model_id,h2s_model_id
23,37,2021-10-08T18:48:37Z,2021-10-08T18:48:37Z,MOD-00014,37,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
24,36,2021-10-08T18:47:37Z,2021-10-08T18:47:37Z,MOD-00014,36,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
25,35,2021-10-08T18:46:37Z,2021-10-08T18:46:37Z,MOD-00014,35,0.0,0.0,23.9,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
26,34,2021-10-08T18:45:37Z,2021-10-08T18:45:37Z,MOD-00014,34,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
27,33,2021-10-08T18:44:37Z,2021-10-08T18:44:37Z,MOD-00014,33,0.0,0.0,23.8,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
28,32,2021-10-08T18:43:37Z,2021-10-08T18:43:37Z,MOD-00014,32,0.0,0.0,23.8,46.4,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
29,31,2021-10-08T18:42:37Z,2021-10-08T18:42:37Z,MOD-00014,31,0.0,0.0,23.8,46.3,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
30,30,2021-10-08T18:41:37Z,2021-10-08T18:41:37Z,MOD-00014,30,0.0,0.0,23.8,46.3,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
31,29,2021-10-08T18:40:37Z,2021-10-08T18:40:37Z,MOD-00014,29,0.0,0.0,23.8,46.4,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
32,28,2021-10-08T18:39:37Z,2021-10-08T18:39:37Z,MOD-00014,28,0.0,0.0,23.8,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
33,27,2021-10-08T18:38:37Z,2021-10-08T18:38:37Z,MOD-00014,27,0.0,0.0,23.8,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
34,26,2021-10-08T18:37:37Z,2021-10-08T18:37:37Z,MOD-00014,26,0.0,0.0,23.8,46.8,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
35,25,2021-10-08T18:36:37Z,2021-10-08T18:36:37Z,MOD-00014,25,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
36,24,2021-10-08T18:35:37Z,2021-10-08T18:35:37Z,MOD-00014,24,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
37,23,2021-10-08T18:34:37Z,2021-10-08T18:34:37Z,MOD-00014,23,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
38,22,2021-10-08T18:33:37Z,2021-10-08T18:33:37Z,MOD-00014,22,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
39,21,2021-10-08T18:32:37Z,2021-10-08T18:32:37Z,MOD-00014,21,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
40,20,2021-10-08T18:31:37Z,2021-10-08T18:31:37Z,MOD-00014,20,0.0,0.0,23.8,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
41,19,2021-10-08T18:30:37Z,2021-10-08T18:30:37Z,MOD-00014,19,0.0,0.0,23.8,46.5,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
42,18,2021-10-08T18:29:37Z,2021-10-08T18:29:37Z,MOD-00014,18,0.0,0.0,23.8,46.4,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
43,17,2021-10-08T18:28:37Z,2021-10-08T18:28:37Z,MOD-00014,17,0.0,0.0,23.8,46.6,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
44,15,2021-10-08T18:27:37Z,2021-10-08T18:27:37Z,MOD-00014,16,0.0,0.0,23.8,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
45,16,2021-10-08T18:26:37Z,2021-10-08T18:26:37Z,MOD-00014,15,0.0,0.0,23.7,46.8,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
46,14,2021-10-08T18:25:37Z,2021-10-08T18:25:37Z,MOD-00014,14,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
47,13,2021-10-08T18:24:37Z,2021-10-08T18:24:37Z,MOD-00014,13,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
48,11,2021-10-08T18:23:37Z,2021-10-08T18:23:37Z,MOD-00014,12,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
49,12,2021-10-08T18:22:37Z,2021-10-08T18:22:37Z,MOD-00014,11,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
50,10,2021-10-08T18:21:37Z,2021-10-08T18:21:37Z,MOD-00014,10,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
51,9,2021-10-08T18:20:37Z,2021-10-08T18:20:37Z,MOD-00014,9,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
52,8,2021-10-08T18:19:37Z,2021-10-08T18:19:37Z,MOD-00014,8,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
53,7,2021-10-08T18:18:37Z,2021-10-08T18:18:37Z,MOD-00014,7,0.0,0.0,23.7,46.8,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
54,6,2021-10-08T18:17:37Z,2021-10-08T18:17:37Z,MOD-00014,6,0.0,0.0,23.7,46.7,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
55,5,2021-10-08T18:16:37Z,2021-10-08T18:16:37Z,MOD-00014,5,0.0,0.0,23.7,46.9,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
56,4,2021-10-08T18:15:37Z,2021-10-08T18:15:37Z,MOD-00014,4,0.0,0.0,23.7,47.0,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
57,3,2021-10-08T18:14:37Z,2021-10-08T18:14:37Z,MOD-00014,3,0.0,0.0,23.6,47.1,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
58,2,2021-10-08T18:13:37Z,2021-10-08T18:13:37Z,MOD-00014,2,0.0,0.0,23.6,47.3,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
59,1,2021-10-08T18:12:37Z,2021-10-08T18:12:37Z,MOD-00014,1,0.0,0.0,23.6,47.3,,,,,,,,,,,,,PRE-REGISTERED,,,,,,,,,,
